zp_m,df_hz
-3.8740288642286466e-07,-12.397360649174516
-3.8737788672330634e-07,-12.257810055871232
-3.8735288702374803e-07,-12.140932881266053
-3.8732788732418971e-07,-12.047932784753357
-3.873028876246314e-07,-11.944351285819721
-3.8727788792507308e-07,-11.8441022323168
-3.8725288822551476e-07,-11.753330397823447
-3.8722788852595645e-07,-11.657640186513163
-3.8720288882639813e-07,-11.581502690205525
-3.8717788912683982e-07,-11.479083639187593
-3.871528894272815e-07,-11.380652154002746
-3.8712788972772319e-07,-11.295391288967949
-3.8710289002816487e-07,-11.196243576705456
-3.8707789032860656e-07,-11.119362852696213
-3.8705289062904824e-07,-11.041096570352238
-3.8702789092948992e-07,-10.906744307703775
-3.8700289122993161e-07,-10.866592958791443
-3.8697789153037329e-07,-10.788343729473127
-3.8695289183081498e-07,-10.685876361549163
-3.8692789213125666e-07,-10.622252943903732
-3.8690289243169835e-07,-10.528167138090794
-3.8687789273214003e-07,-10.451483944962092
-3.8685289303258172e-07,-10.371485359428334
-3.868278933330234e-07,-10.293291552443407
-3.8680289363346509e-07,-10.206088063569041
-3.8677789393390677e-07,-10.140185224827292
-3.8675289423434845e-07,-10.056909616196208
-3.8672789453479014e-07,-9.9859747137998056
-3.8670289483523182e-07,-9.9176574508419435
-3.8667789513567351e-07,-9.8678441418087459
-3.8665289543611519e-07,-9.791517641133396
-3.8662789573655688e-07,-9.7176723556913203
-3.8660289603699856e-07,-9.6621846523703425
-3.8657789633744025e-07,-9.594786831712554
-3.8655289663788193e-07,-9.4976940090418793
-3.8652789693832362e-07,-9.4341402245845529
-3.865028972387653e-07,-9.3691937763651367
-3.8647789753920698e-07,-9.3149807867121126
-3.8645289783964867e-07,-9.2489017333718948
-3.8642789814009035e-07,-9.1838899152207887
-3.8640289844053204e-07,-9.1098172561032698
-3.8637789874097372e-07,-9.0271555563958827
-3.8635289904141541e-07,-8.9571102535046521
-3.8632789934185709e-07,-8.91267717406663
-3.8630289964229878e-07,-8.8458762093068799
-3.8627789994274046e-07,-8.7668638570903568
-3.8625290024318215e-07,-8.7328544395859353
-3.8622790054362383e-07,-8.6443634472743724
-3.8620290084406551e-07,-8.569270448788302
-3.861779011445072e-07,-8.5156983686829335
-3.8615290144494888e-07,-8.4696822000296379
-3.8612790174539057e-07,-8.419564778705535
-3.8610290204583225e-07,-8.3570384390441177
-3.8607790234627394e-07,-8.3100061942786851
-3.8605290264671562e-07,-8.2372395127094933
-3.8602790294715731e-07,-8.1875427326849604
-3.8600290324759899e-07,-8.1196745327360986
-3.8597790354804068e-07,-8.0717228456705925
-3.8595290384848236e-07,-8.0114276101994619
-3.8592790414892404e-07,-7.9707206168677658
-3.8590290444936573e-07,-7.9265902286351775
-3.8587790474980741e-07,-7.8797299352117989
-3.858529050502491e-07,-7.7998407732593478
-3.8582790535069078e-07,-7.755922126762016
-3.8580290565113247e-07,-7.7045044122314721
