frequency_hz,amplitude,phase_rad
275554,0.007261103019118309,0.044879943578365333
275555,0.0073573454283177853,0.035420206182332291
275556,0.0075773363932967186,0.032936272225084127
275557,0.007642701268196106,0.032769316699287759
275558,0.0078075784258544445,0.027006418640023292
275559,0.0078533673658967018,0.031702537817951119
275560,0.0080454074777662754,0.012161445727315154
275561,0.0081453369930386543,0.020477611283276579
275562,0.0081963501870632172,0.0008940960312599478
275563,0.0084722749888896942,0.0012736223314823063
275564,0.0086501128971576691,-0.0037784687026735978
275565,0.0087089948356151581,-0.0077121515506393627
275566,0.0089230439625680447,-0.0086397776642761128
275567,0.0090271914377808571,-0.012398889034924847
275568,0.0091213253326714039,-0.029220043372092948
275569,0.0094638452865183353,-0.032609877646582672
275570,0.0096000693738460541,-0.03264129381233493
275571,0.009779913816601038,-0.018473624174883983
275572,0.0099346032366156578,-0.033389482783123009
275573,0.010157974902540445,-0.051944184803796138
275574,0.010338420514017344,-0.055057694333965408
275575,0.010624959599226713,-0.052786391130784482
275576,0.010825392324477434,-0.056052363057338815
275577,0.011105427518486977,-0.070863409436870667
275578,0.011320586781948805,-0.079855662583165413
275579,0.011497624684125185,-0.085637594669559225
275580,0.011857049074023962,-0.083667389265453071
275581,0.012183791026473045,-0.10257536259557995
275582,0.01237498177215457,-0.10389032406614618
275583,0.012718912214040756,-0.11160720815677197
275584,0.013096348382532597,-0.12355052694679608
275585,0.013472038321197033,-0.12635721866820065
275586,0.013739858753979206,-0.13918017693302537
275587,0.01429716544225812,-0.14630713638235052
275588,0.014736234210431576,-0.15832556870115461
275589,0.015147827100008726,-0.17147690526139628
275590,0.01560946786776185,-0.17600476399060103
275591,0.01607917994260788,-0.2037211148307215
275592,0.016521742567420006,-0.20615359649620374
275593,0.017009984236210585,-0.22096469407786837
275594,0.017783509101718664,-0.23762808879228639
275595,0.018252302426844835,-0.24454555398390623
275596,0.018833538983017206,-0.26774651454561155
275597,0.01958074513822794,-0.28161738443730461
275598,0.020466125570237637,-0.30112643862200461
275599,0.021273359190672636,-0.31531137069279092
275600,0.022123346570879221,-0.33563740610803844
275601,0.023075285833328962,-0.36921993409798348
275602,0.024146493524312973,-0.3935016253907474
275603,0.025309980381280184,-0.41507110167458389
275604,0.026567145250737667,-0.44514328019866917
275605,0.027775444090366364,-0.47891905235229498
275606,0.028975516092032194,-0.51427049845906558
275607,0.030917697120457888,-0.55884904580306793
275608,0.032425959128886461,-0.60031634528825162
275609,0.034152730368077755,-0.64106680613708589
275610,0.035630316939204931,-0.70171797067296549
275611,0.037731966003775597,-0.75694587552545367
275612,0.039776777382940054,-0.8293427347109471
275613,0.041759490501135588,-0.89742393728630598
275614,0.043357919435948133,-0.98194534301640124
275615,0.045546093955636024,-1.0625693404152243
275616,0.047105647623538971,-1.1543599114723762
275617,0.048161118291318417,-1.2641827516344875
275618,0.048980413004755974,-1.364272440863223
275619,0.048908218741416931,-1.4714237190469117
275620,0.048982962965965271,-1.5761454896775731
275621,0.047825419344007969,-1.6839206848670523
275622,0.046838364563882351,-1.7789899186650959
275623,0.045204958412796259,-1.8691781423837639
275624,0.043431619647890329,-1.9600672691721435
275625,0.041333397850394249,-2.0423582397785203
275626,0.038874390535056591,-2.1043548369056393
275627,0.037160021252930164,-2.1778593649957028
275628,0.035517488140612841,-2.226464923509456
275629,0.033671816345304251,-2.2880338599427903
275630,0.031875045504420996,-2.3399079855997704
275631,0.030341378413140774,-2.3795121257854621
275632,0.028586819302290678,-2.4121964045197202
275633,0.027179110329598188,-2.4576477287898135
275634,0.025876335334032774,-2.488779479860777
275635,0.024817940779030323,-2.5188629374832532
275636,0.023728880099952221,-2.5458065003850829
275637,0.022808065172284842,-2.5734246616266407
275638,0.021782211028039455,-2.6004225002521291
275639,0.02101001376286149,-2.6128023874441224
275640,0.019941825419664383,-2.6325599636150465
275641,0.019157303497195244,-2.6479398656897013
275642,0.018514344934374094,-2.6619459253040176
275643,0.017900958191603422,-2.6862683515506989
275644,0.017254247795790434,-2.6980685121033217
275645,0.01648403936997056,-2.7088616130164405
275646,0.016095385886728764,-2.7277641442913123
275647,0.015494734048843384,-2.7362975063686665
275648,0.014932793099433184,-2.74822952265361
275649,0.014615347608923912,-2.7448692129917962
275650,0.014229913707822561,-2.7638243376345359
275651,0.013642572332173586,-2.7806092335471093
275652,0.013382741715759039,-2.7934208278642942
275653,0.012841298710554838,-2.7920836461310219
275654,0.012752978131175041,-2.8055040557506654
275655,0.012238107156008482,-2.815369609547723
275656,0.011971855536103249,-2.8137925575257476
275657,0.011623988393694162,-2.812939932296199
275658,0.011327408719807863,-2.8327784473356945
275659,0.011171088088303804,-2.8342890565443457
275660,0.010907766874879599,-2.8376336588547426
275661,0.010614615399390459,-2.846011190898293
275662,0.010366005823016167,-2.8486631731811429
275663,0.010117582976818085,-2.8595658276404632
275664,0.0099156876094639301,-2.8673906194944521
275665,0.0096915075555443764,-2.8634527234424181
275666,0.0095316916704177856,-2.8726819093379126
275667,0.0092929769307374954,-2.8807441079265592
275668,0.0090444735251367092,-2.8814887785793664
275669,0.008899967186152935,-2.8887390020431325
275670,0.0088509591296315193,-2.8904795146796132
275671,0.0086435829289257526,-2.8987511899709477
