zp_m,df_hz
-3.8923466913475267e-07,-9.8531955927683157
-3.8920966943519435e-07,-9.7936023735201161
-3.8918466973563604e-07,-9.7372279128649097
-3.8915967003607772e-07,-9.6786379799596034
-3.891346703365194e-07,-9.6079830314010906
-3.8910967063696109e-07,-9.5492495688631607
-3.8908467093740277e-07,-9.4494197355743381
-3.8905967123784446e-07,-9.4285681484507222
-3.8903467153828614e-07,-9.3592404937226092
-3.8900967183872783e-07,-9.3116199195719673
-3.8898467213916951e-07,-9.2407404395089543
-3.889596724396112e-07,-9.1935760337946704
-3.8893467274005288e-07,-9.1528249868133571
-3.8890967304049457e-07,-9.0765681193261116
-3.8888467334093625e-07,-9.0288480691924633
-3.8885967364137793e-07,-8.9802441038955294
-3.8883467394181962e-07,-8.946098262185842
-3.888096742422613e-07,-8.8597772673892905
-3.8878467454270299e-07,-8.8237911199939845
-3.8875967484314467e-07,-8.7702375139997457
-3.8873467514358636e-07,-8.7327663322867011
-3.8870967544402804e-07,-8.6561470880042179
-3.8868467574446973e-07,-8.5922906123414577
-3.8865967604491141e-07,-8.5585313058800239
-3.886346763453531e-07,-8.4890501739209867
-3.8860967664579478e-07,-8.4534377720046905
-3.8858467694623646e-07,-8.408096618950367
-3.8855967724667815e-07,-8.3451624277586234
-3.8853467754711983e-07,-8.306651011480426
-3.8850967784756152e-07,-8.2605652096390259
-3.884846781480032e-07,-8.219066671699693
-3.8845967844844489e-07,-8.1524589745640696
-3.8843467874888657e-07,-8.1067057067230053
-3.8840967904932826e-07,-8.0634976029614336
-3.8838467934976994e-07,-8.0218185871672176
-3.8835967965021163e-07,-7.9767204397285241
-3.8833467995065331e-07,-7.9307710620923899
-3.8830968025109499e-07,-7.8863834573894565
-3.8828468055153668e-07,-7.830563220068143
-3.8825968085197836e-07,-7.7941024301253492
-3.8823468115242005e-07,-7.7458054192902637
-3.8820968145286173e-07,-7.7055773317624698
-3.8818468175330342e-07,-7.659579637220304
-3.881596820537451e-07,-7.6359825129657111
-3.8813468235418679e-07,-7.5801509069606254
-3.8810968265462847e-07,-7.5412387445794593
-3.8808468295507016e-07,-7.4984725983995304
-3.8805968325551184e-07,-7.4654636250670592
-3.8803468355595352e-07,-7.4256746529499651
-3.8800968385639521e-07,-7.3753255946940044
-3.8798468415683689e-07,-7.3306807735207258
-3.8795968445727858e-07,-7.2847853971325094
-3.8793468475772026e-07,-7.2647893034627486
-3.8790968505816195e-07,-7.2156154828917352
-3.8788468535860363e-07,-7.1886233854456805
-3.8785968565904532e-07,-7.1402624257643765
-3.87834685959487e-07,-7.1144967250802438
-3.8780968625992869e-07,-7.0614518676848093
-3.8778468656037037e-07,-7.0257485162983357
-3.8775968686081205e-07,-6.9833959059906192
-3.8773468716125374e-07,-6.9483519382629311
-3.8770968746169542e-07,-6.9207999331410974
-3.8768468776213711e-07,-6.8880183334840694
