zp_m,df_hz
-3.9462795025154545e-07,-21.589093535112625
-3.9460295055198713e-07,-21.424312990347971
-3.9457795085242882e-07,-21.262589200432558
-3.945529511528705e-07,-21.053595844477968
-3.9452795145331219e-07,-20.894168528684531
-3.9450295175375387e-07,-20.704446512809227
-3.9447795205419556e-07,-20.540268508284498
-3.9445295235463724e-07,-20.371881248593127
-3.9442795265507892e-07,-20.198089600853564
-3.9440295295552061e-07,-20.053732896485599
-3.9437795325596229e-07,-19.907854209577636
-3.9435295355640398e-07,-19.724122068964789
-3.9432795385684566e-07,-19.541643325737823
-3.9430295415728735e-07,-19.422388675138791
-3.9427795445772903e-07,-19.258315830938955
-3.9425295475817072e-07,-19.102296278106223
-3.942279550586124e-07,-18.935294576749584
-3.9420295535905409e-07,-18.814145619217015
-3.9417795565949577e-07,-18.681855351587728
-3.9415295595993745e-07,-18.512710653340037
-3.9412795626037914e-07,-18.326561246340134
-3.9410295656082082e-07,-18.185326666753099
-3.9407795686126251e-07,-18.042196359147056
-3.9405295716170419e-07,-17.934613083525619
-3.9402795746214588e-07,-17.777109917460621
-3.9400295776258756e-07,-17.632601156947203
-3.9397795806302925e-07,-17.464516588461265
-3.9395295836347093e-07,-17.378127381562081
-3.9392795866391262e-07,-17.212200020821911
-3.939029589643543e-07,-17.092014559239033
-3.9387795926479598e-07,-16.985718787054793
-3.9385295956523767e-07,-16.836193594826909
-3.9382795986567935e-07,-16.700921889878373
-3.9380296016612104e-07,-16.585748596753547
-3.9377796046656272e-07,-16.454642093322036
-3.9375296076700441e-07,-16.335762609287485
-3.9372796106744609e-07,-16.214232800848549
-3.9370296136788778e-07,-16.092205612494581
-3.9367796166832946e-07,-16.003890834781487
-3.9365296196877114e-07,-15.845797918245808
-3.9362796226921283e-07,-15.723934154721064
-3.9360296256965451e-07,-15.623989213509049
-3.935779628700962e-07,-15.524767604802037
-3.9355296317053788e-07,-15.414032361604768
-3.9352796347097957e-07,-15.30924294002034
-3.9350296377142125e-07,-15.201227654415561
-3.9347796407186294e-07,-15.091859495441895
-3.9345296437230462e-07,-15.002298425770277
-3.9342796467274631e-07,-14.894597200054704
-3.9340296497318799e-07,-14.793245384225884
-3.9337796527362967e-07,-14.658148472790344
-3.9335296557407136e-07,-14.587726582249161
-3.9332796587451304e-07,-14.47138942012316
-3.9330296617495473e-07,-14.381296864485194
-3.9327796647539641e-07,-14.261473779697553
-3.932529667758381e-07,-14.189875230385951
-3.9322796707627978e-07,-14.082485222388641
-3.9320296737672147e-07,-13.973057377825171
-3.9317796767716315e-07,-13.912620033806888
-3.9315296797760484e-07,-13.807589027692302
-3.9312796827804652e-07,-13.694999267954699
-3.931029685784882e-07,-13.630001660658309
-3.9307796887892989e-07,-13.522866026960401
-3.9305296917937157e-07,-13.409425037025358
-3.9302796947981326e-07,-13.30744083816171
-3.9300296978025494e-07,-13.252814312636474
-3.9297797008069663e-07,-13.152336464372638
-3.9295297038113831e-07,-13.100039097935223
-3.9292797068158e-07,-13.007934285269585
-3.9290297098202168e-07,-12.912397551190224
-3.9287797128246337e-07,-12.810798466489359
-3.9285297158290505e-07,-12.754273370774172
-3.9282797188334673e-07,-12.666836823882477
-3.9280297218378842e-07,-12.584449393671093
-3.927779724842301e-07,-12.489880418797839
-3.9275297278467179e-07,-12.412955641138979
-3.9272797308511347e-07,-12.33726578675487
-3.9270297338555516e-07,-12.196196053082531
-3.9267797368599684e-07,-12.148377948051348
-3.9265297398643853e-07,-12.07891529020344
-3.9262797428688021e-07,-11.946177380650624
-3.926029745873219e-07,-11.913004982488928
-3.9257797488776358e-07,-11.821522605259815
-3.9255297518820526e-07,-11.752260320463392
-3.9252797548864695e-07,-11.676010558403505
-3.9250297578908863e-07,-11.624028672940767
-3.9247797608953032e-07,-11.52649389268845
-3.92452976389972e-07,-11.465793647857936
-3.9242797669041369e-07,-11.428028301452287
-3.9240297699085537e-07,-11.335218630392774
-3.9237797729129706e-07,-11.25588795503063
-3.9235297759173874e-07,-11.194889282251097
-3.9232797789218043e-07,-11.133043642530538
-3.9230297819262211e-07,-11.061190718919534
-3.9227797849306379e-07,-11.023487900274631
-3.9225297879350548e-07,-10.897149138600071
-3.9222797909394716e-07,-10.850666853912116
-3.9220297939438885e-07,-10.806446937294822
-3.9217797969483053e-07,-10.744079759206215
-3.9215297999527222e-07,-10.668462380181154
-3.921279802957139e-07,-10.60488301618534
-3.9210298059615559e-07,-10.567561048446805
-3.9207798089659727e-07,-10.461307908826711
-3.9205298119703896e-07,-10.427309860006062
-3.9202798149748064e-07,-10.367560321355995
-3.9200298179792232e-07,-10.320678711650544
-3.9197798209836401e-07,-10.23664566446314
-3.9195298239880569e-07,-10.13692099149921
-3.9192798269924738e-07,-10.135440220437886
-3.9190298299968906e-07,-10.025684105130495
-3.9187798330013075e-07,-9.9844172041230195
-3.9185298360057243e-07,-9.9567955658130813
-3.9182798390101412e-07,-9.8804420645137725
-3.918029842014558e-07,-9.8044523610951728
-3.9177798450189749e-07,-9.7329291293135611
-3.9175298480233917e-07,-9.6890872214316914
-3.9172798510278085e-07,-9.6383999448335089
-3.9170298540322254e-07,-9.6103434543692856
-3.9167798570366422e-07,-9.5383882126043318
-3.9165298600410591e-07,-9.4933966465760022
-3.9162798630454759e-07,-9.4200572675617877
-3.9160298660498928e-07,-9.3620769803237636
-3.9157798690543096e-07,-9.307447612627584
-3.9155298720587265e-07,-9.2745196411669895
-3.9152798750631433e-07,-9.2202668611207628
-3.9150298780675602e-07,-9.1669278390327236
-3.914779881071977e-07,-9.1010676328551199
-3.9145298840763938e-07,-9.0339014491291891
-3.9142798870808107e-07,-9.0051329948437342
-3.9140298900852275e-07,-8.9544201387070643
-3.9137798930896444e-07,-8.9095834709951305
-3.9135298960940612e-07,-8.8735887970869953
-3.9132798990984781e-07,-8.8265238673557178
-3.9130299021028949e-07,-8.7413340565944964
-3.9127799051073118e-07,-8.7086064581853861
-3.9125299081117286e-07,-8.6591356307508249
-3.9122799111161455e-07,-8.6339738913920883
-3.9120299141205623e-07,-8.5817816852795659
-3.9117799171249791e-07,-8.5484600731433602
-3.911529920129396e-07,-8.4895930285711074
-3.9112799231338128e-07,-8.4325947113939037
-3.9110299261382297e-07,-8.4135308497934602
-3.9107799291426465e-07,-8.3499870129344345
-3.9105299321470634e-07,-8.3043062204524176
-3.9102799351514802e-07,-8.2485797747722245
-3.9100299381558971e-07,-8.2126135225735197
-3.9097799411603139e-07,-8.1529748285902315
-3.9095299441647308e-07,-8.1145302033291955
-3.9092799471691476e-07,-8.0763129517436028
-3.9090299501735644e-07,-8.0684671388553397
-3.9087799531779813e-07,-7.9916802064872172
-3.9085299561823981e-07,-7.9748403436497028
-3.908279959186815e-07,-7.9233714700421842
-3.9080299621912318e-07,-7.8762809607724193
-3.9077799651956487e-07,-7.8203896691775299
-3.9075299682000655e-07,-7.7949422916390176
-3.9072799712044824e-07,-7.7511671747743094
-3.9070299742088992e-07,-7.7210216886669514
-3.9067799772133161e-07,-7.6991838682261005
-3.9065299802177329e-07,-7.630387699464336
-3.9062799832221497e-07,-7.6255787462287117
-3.9060299862265666e-07,-7.5692767609325529
-3.9057799892309834e-07,-7.5143418598599965
-3.9055299922354003e-07,-7.4913401704179705
-3.9052799952398171e-07,-7.4563203611432982
-3.905029998244234e-07,-7.4042773690052854
-3.9047800012486508e-07,-7.4144594464087277
-3.9045300042530677e-07,-7.344135610765079
